time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-15 12:56:47.139 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,15614775296,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557925006304, , , , ,3145728,1218, , , ,19,4,62,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,29360128,11, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 12:57:47.141 UTC, ,125,3164805,1184,18840,112, ,4, ,5, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,15609028608,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557925006304, , , , ,3145728,3450, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30408704,9, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,2, , , , , , , 
2019-05-15 12:57:47.923 UTC, ,125,3164693,1184,18840, , ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,15609028608,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557925006304, , , , ,3145728,3450, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30408704,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:00:07.020 UTC, ,125,3160245,1184,14392, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,7749,2, ,4200, , , , ,7794,15600885760,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , ,7794, ,1557925206261, , , , ,3145728,7749, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102940,30, , , , , , , , , , ,30408704,8, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:00:10.432 UTC, ,125,3164557,1184,18704, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,7749,2, ,4200, , , , ,7794,15600885760,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7794, ,1557925206261, , , , ,3145728,7749, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6184,4, , , , , , , , , , ,31457280,8, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , 
2019-05-15 13:04:46.986 UTC, ,125,3160245,1184,14392, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,7749,2, ,4200, , , , ,7794,16678141952,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , ,7794, ,1557925486148, , , , ,3145728,7749, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102940,30, , , , , , , , , , ,30408704,10, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:05:32.502 UTC, ,125,3166693,1184,20840, , ,4, ,27,1,0.04, , , , , , , ,4,4, , , ,2,2,6, ,5,1, , , , , , , , , , , , , ,7749,2, ,4200, , , , ,7794,16678141952,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7794, ,1557925486148, , , , ,3145728,15101, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6184,4, , , , , , , , ,1,7,13465088,8, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,5, , ,12,2, , , , , , , 
2019-05-15 13:05:55.768 UTC, ,125,3160269,1184,14416, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,21088,3, ,16068, , , , ,21133,16668168192,-1,-1, , , , , ,3,56, , , , , , , , , , , , , , , , , , , , , , , , , ,21133, ,1557925554951, , , , ,3145728,21088, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,135786,35, , , , , , , , , , ,30408704,10, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:06:55.773 UTC, ,125,3166621,1184,20656,112, ,4, ,103,1,0.01, , , , , , , ,4,4, , , ,2,2,6, ,8,1, , , , , , , , , , , , , ,21088,3, ,16068, , , , ,21133,16658411520,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21133, ,1557925554951, , , , ,3145728,111797, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , ,1,9369,5, , , , , , , , ,1,10,15506432,10, , , , , , ,196, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,35, ,35, , ,47,4, , , , , , , 
2019-05-15 13:07:55.776 UTC, ,125,3166621,1184,20656,112, ,4, ,3, , , , , , , , , ,4,4, , , ,2,2,6, , , , , , , , , , , , , , , , ,21088,3, ,16068, , , , ,21133,16660664320,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21133, ,1557925554951, , , , ,3145728,113109, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,16555008,9, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,2, , , , , , , 
